=====================
  Detection Session  
=====================
Name:		Mohamed Nour El-Din
Source:		/Session_2014_01_15_54172/[T][2014-01-15 15-02-52] Mohamed Nour El-Din.csv
Date:		2014-03-01 16:48:36
Trials:		10
PreTime:	4
RecTime:	4
PostTime:	4
Classifier:	KNN_LDA
AvgDetectTime:	0.133906531334
Triggers:	5086, 6736, 8385, 10035, 11685, 13335, 14984, 16634, 18283, 19933
Directions:	2, 2, 1, 1, 2, 1, 1, 1, 1, 1
ClassesTypes:	2, 1, 1, 2, 1, 2, 1, 2, 1, 2
ClassesNames:	RIGHT, LEFT

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
81,	8464,	8416,	8953,	8304,	7485,	8324,	7795,	8662,	8195,	8175,	8289,	8257,	8814,	8145,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.11,	14.93,	1638,	1655
82,	8465,	8410,	8965,	8301,	7477,	8318,	7788,	8657,	8193,	8185,	8310,	8265,	8817,	8152,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.11,	14.93,	1637,	1654
83,	8469,	8393,	8964,	8291,	7479,	8323,	7793,	8664,	8194,	8216,	8302,	8259,	8809,	8152,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.11,	14.93,	1638,	1654
84,	8469,	8392,	8957,	8282,	7475,	8322,	7801,	8676,	8210,	8228,	8297,	8257,	8796,	8156,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.11,	14.93,	1638,	1654
85,	8479,	8394,	8963,	8286,	7467,	8308,	7805,	8687,	8223,	8203,	8301,	8262,	8782,	8168,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.11,	14.93,	1637,	1657
86,	8497,	8387,	8971,	8282,	7473,	8304,	7807,	8680,	8212,	8177,	8292,	8263,	8758,	8167,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1639,	1656
87,	8495,	8398,	8966,	8275,	7488,	8310,	7802,	8669,	8199,	8191,	8293,	8263,	8755,	8158,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1637,	1657
88,	8481,	8409,	8957,	8280,	7497,	8324,	7805,	8679,	8210,	8223,	8308,	8261,	8759,	8161,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1638,	1657
89,	8474,	8396,	8952,	8276,	7490,	8336,	7812,	8674,	8210,	8223,	8288,	8250,	8734,	8161,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1637,	1657
90,	8472,	8390,	8938,	8267,	7500,	8331,	7809,	8656,	8206,	8199,	8264,	8239,	8702,	8149,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1638,	1658
91,	8468,	8395,	8938,	8261,	7494,	8308,	7794,	8659,	8204,	8180,	8267,	8238,	8686,	8143,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.25,	0.03,	13.13,	14.93,	1639,	1657
92,	8463,	8382,	8947,	8262,	7473,	8302,	7790,	8670,	8197,	8182,	8259,	8244,	8677,	8143,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1639,	1658
93,	8467,	8383,	8950,	8274,	7502,	8326,	7813,	8683,	8216,	8209,	8263,	8253,	8678,	8149,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1639,	1655
94,	8474,	8395,	8960,	8278,	7531,	8336,	7822,	8690,	8234,	8223,	8289,	8267,	8673,	8153,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1639,	1656
95,	8485,	8384,	8970,	8281,	7511,	8329,	7812,	8685,	8228,	8227,	8301,	8271,	8662,	8157,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1639,	1656
96,	8502,	8392,	8978,	8292,	7490,	8327,	7812,	8685,	8232,	8238,	8306,	8279,	8673,	8173,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1638,	1659
97,	8498,	8409,	8976,	8282,	7508,	8314,	7811,	8682,	8234,	8222,	8296,	8277,	8662,	8172,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1638,	1660
98,	8470,	8386,	8952,	8262,	7506,	8299,	7798,	8665,	8206,	8201,	8268,	8248,	8611,	8145,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1639,	1662
99,	8462,	8363,	8939,	8263,	7479,	8301,	7788,	8655,	8188,	8201,	8262,	8233,	8589,	8139,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1638,	1662
100,	8471,	8376,	8943,	8267,	7490,	8310,	7793,	8668,	8202,	8195,	8269,	8238,	8589,	8144,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1638,	1662
101,	8470,	8384,	8942,	8267,	7504,	8325,	7809,	8682,	8217,	8196,	8270,	8241,	8572,	8143,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.27,	0.00,	13.11,	14.95,	1637,	1662
